socioeconomic_group,region,state,urban_rural,school_network,count,mean,median,std
Muito baixo,Centro-Oeste,GO,Rural,Pública,5,233.7319818764302,229.59901449999998,19.086800093251412
Muito baixo,Centro-Oeste,GO,Urbana,Pública,3,256.7119103946759,249.96434061111108,38.89694957243249
Muito baixo,Centro-Oeste,MS,Rural,Pública,16,205.85298883976594,206.12457449737568,14.482072423642263
Muito baixo,Centro-Oeste,MT,Rural,Pública,4,180.7987983506536,180.1303838277778,13.589708107484183
Muito baixo,Nordeste,AL,Rural,Pública,146,246.98109108922569,237.47461565578988,38.625448057564405
Muito baixo,Nordeste,AL,Urbana,Pública,82,251.85397183272133,241.5524854607921,39.156300323929074
Muito baixo,Nordeste,BA,Rural,Privada,1,218.55701354545454,218.55701354545454,
Muito baixo,Nordeste,BA,Rural,Pública,793,226.98738824910052,225.3455386666666,19.542906816777627
Muito baixo,Nordeste,BA,Urbana,Pública,289,227.041293515086,226.17666732056708,15.863547507302307
Muito baixo,Nordeste,CE,Rural,Pública,581,270.1078624557973,262.36123072288694,37.469450113381065
Muito baixo,Nordeste,CE,Urbana,Pública,347,271.55878114921126,263.3824412777778,37.81881059688759
Muito baixo,Nordeste,MA,Rural,Pública,935,218.30247677309205,215.8696808,20.50682539007605
Muito baixo,Nordeste,MA,Urbana,Pública,369,228.06543672815326,226.28520045389095,17.78923946734783
Muito baixo,Nordeste,PB,Rural,Pública,125,232.37249204572058,229.77359096428575,19.287672049861758
Muito baixo,Nordeste,PB,Urbana,Pública,216,232.82783408038918,232.41693766103674,16.16973362674947
Muito baixo,Nordeste,PE,Rural,Pública,272,245.9668543806347,243.1665295818182,26.13830829696197
Muito baixo,Nordeste,PE,Urbana,Pública,233,243.87510147512435,241.5858727118646,21.560599270263015
Muito baixo,Nordeste,PI,Rural,Pública,349,237.17286865364892,235.11422369230772,22.304224776783403
Muito baixo,Nordeste,PI,Urbana,Pública,246,243.30464195066054,241.79184058457707,18.142747315755706
Muito baixo,Nordeste,RN,Rural,Pública,52,227.36122352553275,225.54201747272668,13.219285511438358
Muito baixo,Nordeste,RN,Urbana,Pública,102,226.67014415508083,226.30817747099746,15.69525734365424
Muito baixo,Nordeste,SE,Rural,Pública,120,232.5369958061652,231.44685088955026,17.773245831989865
Muito baixo,Nordeste,SE,Urbana,Pública,58,229.3402129791256,230.1294637855392,13.393194463724347
Muito baixo,Norte,AC,Rural,Pública,40,223.619654608763,221.00019375441178,18.164694093279824
Muito baixo,Norte,AC,Urbana,Pública,18,233.58245712576678,235.90721679805682,11.949871382716728
Muito baixo,Norte,AM,Rural,Pública,292,209.496846582832,209.17934596875,21.652556378113644
Muito baixo,Norte,AM,Urbana,Pública,113,229.60962347920622,228.90835113152784,16.90033446931485
Muito baixo,Norte,AP,Rural,Pública,39,211.03979492898654,212.36385928,14.37379512050849
Muito baixo,Norte,AP,Urbana,Pública,6,226.88185620031925,225.89974366959086,6.69212430275273
Muito baixo,Norte,PA,Rural,Pública,966,224.16331196365377,222.21837447487627,19.69451477855228
Muito baixo,Norte,PA,Urbana,Pública,211,231.79898210452322,231.29877203384262,11.184625666941013
Muito baixo,Norte,RO,Rural,Pública,2,226.61247461541018,226.61247461541018,2.4220020183976856
Muito baixo,Norte,RO,Urbana,Pública,4,227.43090800103008,230.5738102484887,11.884302533603865
Muito baixo,Norte,RR,Rural,Pública,69,200.05875981112118,200.0134122083333,15.691776809206413
Muito baixo,Norte,RR,Urbana,Pública,4,216.30538714877204,216.25769782353558,1.2095554440007577
Muito baixo,Norte,TO,Rural,Pública,38,222.34495198623796,220.1530368029412,17.07627822239547
Muito baixo,Norte,TO,Urbana,Pública,20,227.44631291360685,228.4777568902566,12.118220974826741
Muito baixo,Sudeste,ES,Rural,Pública,5,259.94710124851935,260.2613421578947,21.696943927316113
Muito baixo,Sudeste,ES,Urbana,Pública,11,258.2923413646734,266.5977650454545,16.449269074380844
Muito baixo,Sudeste,MG,Rural,Pública,152,230.12672190175795,231.0489597990827,18.194009732210688
Muito baixo,Sudeste,MG,Urbana,Pública,155,233.84194764746428,232.0850132250099,18.025323677504602
Muito baixo,Sudeste,RJ,Rural,Pública,4,222.1784444254875,219.0018522559524,9.929398431398855
Muito baixo,Sudeste,RJ,Urbana,Pública,8,226.5510204353801,226.72545083846072,23.080824190752974
Muito baixo,Sudeste,SP,Rural,Pública,2,253.1351051287878,253.1351051287878,23.343110937475473
Muito baixo,Sul,PR,Rural,Pública,6,249.70679798846376,249.79714310714283,10.65517651455844
Muito baixo,Sul,RS,Rural,Pública,1,219.40806169234904,219.40806169234904,
Muito baixo,Sul,RS,Urbana,Pública,2,230.87323064285715,230.87323064285715,26.31258247697593
Muito baixo,Sul,SC,Rural,Pública,1,213.59669011111114,213.59669011111114,
Muito baixo,Sul,SC,Urbana,Pública,1,238.6910476666667,238.6910476666667,
Baixo,Centro-Oeste,DF,Rural,Privada,1,273.5179563478261,273.5179563478261,
Baixo,Centro-Oeste,DF,Rural,Pública,1,237.15832138550772,237.15832138550772,
Baixo,Centro-Oeste,GO,Rural,Pública,20,250.65629946372346,240.6648598090909,40.11535248126884
Baixo,Centro-Oeste,GO,Urbana,Pública,23,247.70135585155,244.94646342802116,18.596565612226154
Baixo,Centro-Oeste,MS,Rural,Pública,17,223.00718044082083,227.03649195454543,21.539388404433428
Baixo,Centro-Oeste,MS,Urbana,Pública,7,222.69988648136328,221.9224400582627,14.187947794877365
