socioeconomic_group,region,state,urban_rural,school_network,count,mean,median,std
Muito baixo,Centro-Oeste,GO,Rural,Pública,5,233.37636210051969,228.1593816908515,27.49525847677047
Muito baixo,Centro-Oeste,GO,Urbana,Pública,3,250.85381133796295,240.66598755555552,38.48974949107863
Muito baixo,Centro-Oeste,MS,Rural,Pública,16,206.69597053470935,201.6839949289855,16.953574036604376
Muito baixo,Centro-Oeste,MT,Rural,Pública,4,183.6297574352124,175.5296319027778,22.27987033124598
Muito baixo,Nordeste,AL,Rural,Pública,146,239.73554000340923,234.58614513333328,27.497691919000086
Muito baixo,Nordeste,AL,Urbana,Pública,82,245.3298999529906,243.16004845860886,23.590208058634804
Muito baixo,Nordeste,BA,Rural,Privada,1,210.56324972727273,210.56324972727273,
Muito baixo,Nordeste,BA,Rural,Pública,793,227.1350436774712,226.36659760000003,20.005411124591145
Muito baixo,Nordeste,BA,Urbana,Pública,289,228.51278274290212,227.91351358637468,16.414696571254414
Muito baixo,Nordeste,CE,Rural,Pública,581,263.60621788887295,260.70925194999995,24.378845693307472
Muito baixo,Nordeste,CE,Urbana,Pública,347,265.469901565178,262.14709619444443,24.21941557535851
Muito baixo,Nordeste,MA,Rural,Pública,935,219.99601377540878,219.4011431304348,18.360493376623324
Muito baixo,Nordeste,MA,Urbana,Pública,369,231.01959651279054,229.53207982157215,16.704779353454633
Muito baixo,Nordeste,PB,Rural,Pública,125,232.53317028236472,232.3196831747222,19.59824279574924
Muito baixo,Nordeste,PB,Urbana,Pública,216,235.07491278764522,235.15770344253474,15.850633114579024
Muito baixo,Nordeste,PE,Rural,Pública,272,241.37198327489077,241.34389841884064,20.517601003246586
Muito baixo,Nordeste,PE,Urbana,Pública,233,242.38363658552828,241.65559368414588,17.038928643033465
Muito baixo,Nordeste,PI,Rural,Pública,349,235.4140318394302,235.97145727272726,21.239126933702483
Muito baixo,Nordeste,PI,Urbana,Pública,246,244.15857297298032,242.69000708032058,17.88567208489279
Muito baixo,Nordeste,RN,Rural,Pública,52,228.36338698242218,225.54300997233088,16.129075879364272
Muito baixo,Nordeste,RN,Urbana,Pública,102,231.91980729714595,232.05503686428403,16.564514623066366
Muito baixo,Nordeste,SE,Rural,Pública,120,232.346600041992,232.56400003395214,17.481573036411163
Muito baixo,Nordeste,SE,Urbana,Pública,58,230.26819949582847,232.94012248170657,15.179136800656016
Muito baixo,Norte,AC,Rural,Pública,40,223.14963633710562,220.3090115833333,19.689670500467354
Muito baixo,Norte,AC,Urbana,Pública,18,238.04672059217103,237.094441277545,15.10424939580661
Muito baixo,Norte,AM,Rural,Pública,292,209.848047714721,210.9642561907986,22.54283978540571
Muito baixo,Norte,AM,Urbana,Pública,113,229.53616404653783,229.45577638321294,15.827934183115039
Muito baixo,Norte,AP,Rural,Pública,39,214.9315640552298,212.77347290000003,17.556188941174817
Muito baixo,Norte,AP,Urbana,Pública,6,232.22662847263783,229.20791842747207,10.76462514726022
Muito baixo,Norte,PA,Rural,Pública,966,222.71648960384832,221.9795386990969,17.049769216883508
Muito baixo,Norte,PA,Urbana,Pública,211,236.38018794205288,237.31784939679832,12.113888152521296
Muito baixo,Norte,RO,Rural,Pública,2,231.99403574161065,231.99403574161065,13.385489047441302
Muito baixo,Norte,RO,Urbana,Pública,4,234.39943499027834,233.84561609127098,12.282998599089007
Muito baixo,Norte,RR,Rural,Pública,69,200.01516188749346,199.46733120603528,15.782213185917449
Muito baixo,Norte,RR,Urbana,Pública,4,216.7574416694668,217.23630830858104,4.083479373118074
Muito baixo,Norte,TO,Rural,Pública,38,223.9751015209938,217.14925537391306,18.528243415620295
Muito baixo,Norte,TO,Urbana,Pública,20,226.9553265567534,224.45655469528282,15.227881114366124
Muito baixo,Sudeste,ES,Rural,Pública,5,261.9989741159348,258.97218947899603,14.180559676934223
Muito baixo,Sudeste,ES,Urbana,Pública,11,264.65012457160367,268.00361753846147,14.679751299405757
Muito baixo,Sudeste,MG,Rural,Pública,152,232.12232904351234,231.4161327619048,18.024860181433915
Muito baixo,Sudeste,MG,Urbana,Pública,155,234.9900844369279,236.000204,17.244825341083022
Muito baixo,Sudeste,RJ,Rural,Pública,4,213.77972637223255,211.40766413942308,17.2438228769121
Muito baixo,Sudeste,RJ,Urbana,Pública,8,228.97283193631722,227.15411364028378,17.395491471931177
Muito baixo,Sudeste,SP,Rural,Pública,2,256.5513161098484,256.5513161098484,26.911704822789
Muito baixo,Sul,PR,Rural,Pública,6,244.47355168240196,248.70159231092435,14.580296490205939
Muito baixo,Sul,RS,Rural,Pública,1,219.81832777467892,219.81832777467892,
Muito baixo,Sul,RS,Urbana,Pública,2,241.4546130714286,241.4546130714286,35.02781517848692
Muito baixo,Sul,SC,Rural,Pública,1,201.7293928888889,201.7293928888889,
Muito baixo,Sul,SC,Urbana,Pública,1,218.45336866666668,218.45336866666668,
Baixo,Centro-Oeste,DF,Rural,Privada,1,278.4045347101449,278.4045347101449,
Baixo,Centro-Oeste,DF,Rural,Pública,1,244.30860945069145,244.30860945069145,
Baixo,Centro-Oeste,GO,Rural,Pública,20,248.435601686045,240.15644470634916,29.148428599966003
Baixo,Centro-Oeste,GO,Urbana,Pública,23,246.91618853437924,249.3279699375496,16.53592397234837
Baixo,Centro-Oeste,MS,Rural,Pública,17,228.27968768066978,227.37169699979265,18.846214613348646
Baixo,Centro-Oeste,MS,Urbana,Pública,7,228.94600992827958,227.2714185,12.277942359114785
Baixo,Centro-Oeste,MT,Rural,Privada,1,240.97708433333335,240.97708433333335,
Baixo,Centro-Oeste,MT,Rural,Pública,29,229.4443926342789,230.2462670692187,15.181693898885472
Baixo,Centro-Oeste,MT,Urbana,Pública,22,230.76539581847226,231.81470238198756,14.506698952937048
Baixo,Nordeste,AL,Rural,Pública,66,256.8176789909093,246.51396218233617,33.57644648993621
